_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,geometry
2534278,5156165,2022.0,,1960.0,PRIVATE,20,Scarborough Southwest,568 BIRCHMOUNT RD,7,61,2023-01-18,83,Evaluation needs to be conducted in 2 years,19,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,,E2029,43.7127945342,-79.2713034993,POINT (323213.731 4841229.257)
2534279,5144479,2022.0,,2020.0,PRIVATE,4,Parkdale-High Park,55 QUEBEC AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S0428,,,POINT (307442.641 4834735.62)
2534280,5144485,2022.0,,2021.0,PRIVATE,4,Parkdale-High Park,50 HIGH PARK AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S0428,43.655497932,-79.466564069,POINT (307481.141 4834840.141)
2534281,4154257,2017.0,,1960.0,PRIVATE,7,Humber River-Black Creek,3 DAMASK AVE,3,10,2022-12-30,83,Evaluation needs to be conducted in 2 years,15,3.0,5.0,5.0,3.0,3.0,5.0,,4.0,,,3.0,5.0,5.0,4.0,5.0,5.0,,3.0,4.0,,W0728,43.7416935323,-79.5396641026,POINT (301589.804 4844415.332)
2534282,4155227,2017.0,,1957.0,PRIVATE,3,Etobicoke-Lakeshore,301 PARK LAWN RD,4,25,2022-12-30,76,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,4.0,5.0,,4.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,,W0329,43.6350512379,-79.4924601948,POINT (305392.658 4832567.215)
2534283,4155233,2017.0,,1955.0,PRIVATE,3,Etobicoke-Lakeshore,5 NEWHOLM RD,4,27,2022-12-30,68,Evaluation needs to be conducted in 2 years,17,3.0,3.0,5.0,3.0,4.0,4.0,,4.0,,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,,W0329,43.6356446898,-79.4874066551,POINT (305800.477 4832633.187)
2534284,4153885,2017.0,,1955.0,PRIVATE,12,Toronto-St. Paul's,567 AVENUE RD,11,63,2022-12-30,91,Evaluation needs to be conducted in 3 years,18,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,,S1232,43.688402926,-79.401606294,POINT (312716.449 4838499.822)
2534285,4155235,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,169 BERRY RD,4,25,2022-12-30,81,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,,W0329,43.6371235205,-79.4874115114,POINT (305800.066 4832797.477)
2534286,4155297,2017.0,,1960.0,PRIVATE,3,Etobicoke-Lakeshore,2645 BLOOR ST W,5,42,2022-12-30,91,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,,W0327,43.648946892,-79.494356545,POINT (305239.348 4834111.89)
2534287,4155295,2017.0,,1927.0,PRIVATE,3,Etobicoke-Lakeshore,2651 BLOOR ST W,4,34,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3.0,4.0,5.0,3.0,2.0,4.0,,4.0,,3.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,,W0327,43.649230274,-79.495336571,POINT (305160.274 4834143.367)
2534288,4155294,2017.0,,1940.0,PRIVATE,3,Etobicoke-Lakeshore,2655 BLOOR ST W,5,45,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,3.0,2.0,,4.0,,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,,W0327,43.6494614357,-79.495683937,POINT (305101.599 4834184.139)
2534289,4155494,2017.0,,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2547 LAKE SHORE BLVD W,4,26,2022-12-30,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,3.0,3.0,,4.0,,4.0,4.0,5.0,5.0,3.0,5.0,3.0,,4.0,3.0,,W0336,43.609303547,-79.4892009672,POINT (305656.036 4829706.813)
2534290,4156367,2017.0,,1954.0,PRIVATE,5,York South-Weston,4 GREENBROOK DR,3,23,2022-12-30,79,Evaluation needs to be conducted in 2 years,15,3.0,5.0,5.0,3.0,4.0,3.0,,4.0,,,4.0,3.0,5.0,4.0,4.0,5.0,,4.0,3.0,,W0532,43.697269464,-79.4763543388,POINT (306690.437 4839479.496)
2534291,4154231,2017.0,,1970.0,PRIVATE,7,Humber River-Black Creek,2940 JANE ST,13,153,2022-12-30,82,Evaluation needs to be conducted in 2 years,18,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0729,43.753728376,-79.5177880102,POINT (303352.137 4845751.71)
2534292,4154233,2017.0,,1970.0,PRIVATE,7,Humber River-Black Creek,2970 JANE ST,14,164,2022-12-30,86,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0729,43.7553825332,-79.5178201808,POINT (303349.587 4845935.472)
2534293,4156565,2017.0,,1968.0,PRIVATE,5,York South-Weston,15 HARDING AVE,19,335,2022-12-30,74,Evaluation needs to be conducted in 2 years,20,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,W0528,,,POINT (304655.788 4839682.129)
2534294,4155481,2017.0,,1957.0,PRIVATE,3,Etobicoke-Lakeshore,2303 LAKE SHORE BLVD W,4,38,2022-12-30,96,Evaluation needs to be conducted in 3 years,15,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,,,5.0,5.0,5.0,5.0,4.0,5.0,,4.0,5.0,,W0336,43.6181573986,-79.4862044027,POINT (305864.468 4830685.073)
2534295,4155480,2017.0,,1954.0,PRIVATE,3,Etobicoke-Lakeshore,2309 LAKE SHORE BLVD W,4,28,2022-12-30,70,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,3.0,4.0,,3.0,,2.0,3.0,4.0,5.0,4.0,3.0,4.0,,4.0,4.0,,W0336,43.6177159242,-79.4864921975,POINT (305843.963 4830639.407)
2534296,4155477,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,2355 LAKE SHORE BLVD W,4,86,2022-12-30,69,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,2.0,2.0,2.0,,3.0,4.0,,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,,W0336,43.616065741,-79.4876962773,POINT (305777.4 4830458.074)
2534297,4155476,2017.0,,1960.0,PRIVATE,3,Etobicoke-Lakeshore,2361 LAKE SHORE BLVD W,4,47,2022-12-30,82,Evaluation needs to be conducted in 2 years,17,4.0,5.0,5.0,4.0,3.0,4.0,,3.0,5.0,,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,,W0336,43.6158682454,-79.4878084713,POINT (305768.347 4830436.132)
2534298,4155475,2017.0,,1959.0,PRIVATE,3,Etobicoke-Lakeshore,2369 LAKE SHORE BLVD W,4,87,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3.0,3.0,5.0,3.0,4.0,4.0,,3.0,5.0,,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,,W0336,43.615736635,-79.4878821357,POINT (305762.403 4830421.51)
2534299,4155474,2017.0,,1970.0,PRIVATE,3,Etobicoke-Lakeshore,2377 LAKE SHORE BLVD W,4,23,2022-12-30,72,Evaluation needs to be conducted in 2 years,18,4.0,3.0,5.0,4.0,4.0,2.0,,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,,W0336,43.6154404667,-79.4878892475,POINT (305761.833 4830388.607)
2534300,4155488,2017.0,,1955.0,PRIVATE,3,Etobicoke-Lakeshore,2532 LAKE SHORE BLVD W,4,46,2022-12-30,75,Evaluation needs to be conducted in 2 years,15,5.0,4.0,5.0,3.0,3.0,2.0,,4.0,,,3.0,4.0,4.0,5.0,3.0,4.0,,4.0,3.0,,W0336,43.6109821847,-79.4903809388,POINT (305560.767 4829893.29)
2534301,4156439,2017.0,,1993.0,SOCIAL HOUSING,5,York South-Weston,33 GABIAN WAY,18,248,2022-12-30,89,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,4.0,2.0,5.0,W0533,43.6931197205,-79.4688639232,POINT (307294.354 4839018.662)
2534302,4155473,2017.0,,1959.0,SOCIAL HOUSING,3,Etobicoke-Lakeshore,110 STANLEY AVE,3,16,2022-12-30,74,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,4.0,2.0,,5.0,,,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,,W0336,43.6151367665,-79.4949740706,POINT (305189.979 4830354.824)
2534303,4155234,2017.0,,1947.0,PRIVATE,3,Etobicoke-Lakeshore,3 NEWHOLM RD,4,25,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,,W0329,43.6360787547,-79.4876301384,POINT (305782.438 4832681.407)
2534304,4155482,2017.0,,1951.0,PRIVATE,3,Etobicoke-Lakeshore,51 STANLEY AVE,3,12,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,5.0,3.0,5.0,,5.0,,4.0,5.0,5.0,3.0,4.0,4.0,4.0,,5.0,4.0,,W0336,43.6160393846,-79.4896739143,POINT (305617.776 4830455.127)
2534305,4155256,2017.0,,1962.0,PRIVATE,3,Etobicoke-Lakeshore,3 HILL HEIGHTS RD,4,38,2022-12-29,74,Evaluation needs to be conducted in 2 years,17,3.0,4.0,5.0,3.0,3.0,4.0,,4.0,,2.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,,W0327,43.6382045659,-79.4931680835,POINT (305335.532 4832917.528)
2534306,4155305,2017.0,,1979.0,TCHC,3,Etobicoke-Lakeshore,41 MABELLE AVE,19,350,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,W0321,43.6448379761,-79.5277127601,POINT (302548.527 4833654.887)
2534307,4820405,2022.0,,1950.0,PRIVATE,3,Etobicoke-Lakeshore,2513 LAKE SHORE BLVD W,3,11,2022-12-29,81,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,4.0,,,W0336,43.6117781476,-79.4895548881,POINT (305627.437 4829981.725)
2534308,4152905,2017.0,,1993.0,SOCIAL HOUSING,4,Parkdale-High Park,93 LAVINIA AVE,5,68,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,S0430,43.6473083382,-79.4777129608,POINT (306582.355 4833929.1)
2534309,4155228,2018.0,,1962.0,PRIVATE,3,Etobicoke-Lakeshore,9 KINSDALE BLVD,4,23,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,5.0,5.0,4.0,,4.0,,4.0,4.0,5.0,5.0,3.0,4.0,5.0,,4.0,4.0,,W0329,43.6352649375,-79.4919665857,POINT (305432.484 4832590.959)
2534310,4155302,2017.0,,1974.0,PRIVATE,3,Etobicoke-Lakeshore,52 MABELLE AVE,22,310,2022-12-29,77,Evaluation needs to be conducted in 2 years,19,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,,W0321,43.6464029439,-79.5294506955,POINT (302408.377 4833828.787)
2534311,4155221,2017.0,,1970.0,PRIVATE,3,Etobicoke-Lakeshore,620 EVANS AVE,3,25,2022-12-29,71,Evaluation needs to be conducted in 2 years,17,4.0,2.0,5.0,4.0,3.0,3.0,,4.0,,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,,W0330,43.610802275,-79.550398922,POINT (300715.866 4829875.377)
2534312,4290959,2018.0,,1962.0,PRIVATE,3,Etobicoke-Lakeshore,25 ELIZABETH ST,3,29,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,,W0336,43.6135850358,-79.4949390042,POINT (305192.817 4830182.433)
2534313,4153574,2017.0,,1991.0,SOCIAL HOUSING,13,Toronto Centre,330 DUNDAS ST E,4,29,2022-12-29,60,Evaluation needs to be conducted in 1 year,15,3.0,3.0,5.0,3.0,3.0,3.0,,4.0,,,3.0,3.0,1.0,2.0,2.0,2.0,,4.0,,4.0,S1329,43.6587482686,-79.3702105377,POINT (315252.836 4835207.824)
2534314,4156523,2017.0,,1950.0,PRIVATE,2,Etobicoke Centre,4750 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5.0,4.0,5.0,4.0,4.0,2.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.652601481,-79.525645179,POINT (302689.552 4834490.961)
2534315,4156289,2017.0,,1950.0,PRIVATE,2,Etobicoke Centre,4752 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5.0,4.0,5.0,4.0,4.0,2.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.652394933,-79.525845839,POINT (302688.053 4834472.61)
2534316,4156225,2017.0,,1950.0,PRIVATE,2,Etobicoke Centre,4754 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5.0,4.0,5.0,4.0,4.0,2.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.652203577,-79.525983776,POINT (302683.101 4834465.154)
2534317,4155226,2017.0,,1947.0,PRIVATE,3,Etobicoke-Lakeshore,285 PARK LAWN RD,4,29,2022-12-29,73,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,3.0,4.0,3.0,,3.0,,3.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,,W0329,43.6345619465,-79.4922664925,POINT (305408.295 4832512.859)
2534318,4152911,2017.0,,1960.0,PRIVATE,4,Parkdale-High Park,111 RUNNYMEDE RD,4,16,2022-12-29,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,3.0,2.0,,4.0,,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,,,S0430,43.6505719581,-79.4757413114,POINT (306741.319 4834291.715)
2534319,4153569,2017.0,,1988.0,SOCIAL HOUSING,13,Toronto Centre,223 SHERBOURNE ST,6,60,2022-12-29,54,Evaluation needs to be conducted in 1 year,17,2.0,3.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,,1.0,2.0,3.0,3.0,2.0,4.0,,4.0,,3.0,S1329,43.6582200015,-79.3706451728,POINT (315217.87 4835149.078)
2534320,4152898,2020.0,,1958.0,PRIVATE,4,Parkdale-High Park,93 COE HILL DR,4,33,2022-12-29,80,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,3.0,3.0,4.0,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,S0430,43.6414422476,-79.4724449481,POINT (307007.546 4833277.515)
2534321,4155375,2017.0,,1965.0,PRIVATE,2,Etobicoke Centre,287 MARKLAND DR,10,118,2022-12-29,80,Evaluation needs to be conducted in 2 years,19,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,,W0233,43.6275335945,-79.5780494311,POINT (298485.949 4831734.901)
2534322,4155237,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,8 NEWHOLM RD,4,26,2022-12-29,76,Evaluation needs to be conducted in 2 years,17,4.0,4.0,3.0,3.0,3.0,3.0,,3.0,,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,,W0329,43.6354822227,-79.4882224103,POINT (305734.649 4832615.13)
2534323,4152901,2017.0,,1957.0,PRIVATE,4,Parkdale-High Park,9 MORNINGSIDE AVE,4,36,2022-12-29,75,Evaluation needs to be conducted in 2 years,15,3.0,4.0,4.0,3.0,4.0,2.0,,4.0,4.0,,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,S0430,43.645605233,-79.473469677,POINT (306924.468 4833740.943)
2534324,4155210,2017.0,,1949.0,PRIVATE,3,Etobicoke-Lakeshore,2688 BLOOR ST W,4,21,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,5.0,,3.0,4.0,,W0322,43.6503142619,-79.4971169059,POINT (305016.898 4834262.829)
2534325,4155211,2017.0,,1949.0,PRIVATE,3,Etobicoke-Lakeshore,2690 BLOOR ST W,4,18,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,4.0,,W0322,43.6503326449,-79.4973659893,POINT (304996.803 4834264.87)
2534326,4155212,2017.0,,1949.0,PRIVATE,3,Etobicoke-Lakeshore,2692-2694 BLOOR ST W,4,40,2022-12-29,79,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,3.0,3.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,3.0,,W0322,43.6502825734,-79.4978680746,POINT (304956.297 4834259.305)
2534327,4281915,2017.0,,1952.0,PRIVATE,2,Etobicoke Centre,6 BEXHILL CRT,4,13,2022-12-29,84,Evaluation needs to be conducted in 2 years,15,4.0,5.0,5.0,4.0,3.0,2.0,,4.0,,4.0,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.662044955,-79.521338721,POINT (303063.01 4835567.277)
2534328,4281929,2017.0,,1952.0,PRIVATE,2,Etobicoke Centre,7 BEXHILL CRT,4,13,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,2.0,,4.0,,4.0,4.0,4.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.661751009,-79.521325389,POINT (303064.075 4835534.621)
2534329,4152903,2017.0,,1940.0,PRIVATE,4,Parkdale-High Park,2555 BLOOR ST W,4,34,2022-12-29,82,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,5.0,3.0,4.0,,5.0,,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,,S0430,43.6476402456,-79.4906914801,POINT (305535.289 4833965.806)
2534330,4152933,2017.0,,1973.0,PRIVATE,4,Parkdale-High Park,299 GLENLAKE AVE,30,233,2022-12-29,81,Evaluation needs to be conducted in 2 years,19,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,,S0428,43.656888484,-79.465364295,POINT (307575.602 4834997.723)
2534331,4152941,2017.0,,1958.0,PRIVATE,4,Parkdale-High Park,205 KEELE ST,4,42,2022-12-29,71,Evaluation needs to be conducted in 2 years,15,5.0,4.0,5.0,3.0,3.0,2.0,,3.0,,,4.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,S0429,43.6597146756,-79.4617878892,POINT (307866.434 4835307.806)
2534332,4155410,2017.0,,1962.0,PRIVATE,2,Etobicoke Centre,416 THE WESTWAY,9,103,2022-12-29,69,Evaluation needs to be conducted in 2 years,18,3.0,3.0,4.0,3.0,4.0,4.0,,2.0,4.0,5.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,,W0221,43.6840527547,-79.565694704,POINT (299487.999 4838013.037)
2534333,4155288,2017.0,,1960.0,PRIVATE,3,Etobicoke-Lakeshore,186 STEPHEN DR,5,48,2022-12-28,82,Evaluation needs to be conducted in 2 years,18,3.0,5.0,5.0,3.0,5.0,4.0,,3.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,,W0327,43.640530203,-79.488846855,POINT (305685.065 4833173.273)
